time,valve
2019-03-06T05:20:41Z,15
2019-03-06T05:28:44Z,11
2019-03-06T05:30:53Z,100
2019-03-06T05:32:57Z,98
2019-03-06T05:36:50Z,93
2019-03-06T05:40:48Z,88
2019-03-06T05:42:52Z,84
2019-03-06T05:46:51Z,78
2019-03-06T05:48:57Z,73
2019-03-06T05:52:55Z,67
2019-03-06T05:57:02Z,61
2019-03-06T06:01:00Z,55
2019-03-06T06:05:00Z,50
2019-03-06T06:09:03Z,44
2019-03-06T06:13:07Z,39
2019-03-06T06:17:06Z,34
2019-03-06T06:23:11Z,29
2019-03-06T06:29:12Z,24
2019-03-06T06:35:17Z,22
2019-03-06T06:37:25Z,16
2019-03-06T06:43:19Z,13
2019-03-06T07:20:45Z,0
2019-03-06T16:40:30Z,9
2019-03-06T16:50:08Z,0
2019-03-06T17:15:46Z,0
2019-03-06T23:13:16Z,4
2019-03-07T00:39:56Z,9
2019-03-07T02:00:32Z,14
2019-03-07T03:05:00Z,19
2019-03-07T03:55:32Z,24
2019-03-07T05:12:02Z,20
2019-03-07T05:20:08Z,15
2019-03-07T05:26:10Z,12
2019-03-07T05:30:42Z,93
2019-03-07T05:36:20Z,87
2019-03-07T05:40:20Z,82
2019-03-07T05:44:19Z,75
2019-03-07T05:46:22Z,71
2019-03-07T05:50:26Z,65
2019-03-07T05:54:24Z,60
2019-03-07T05:58:25Z,56
2019-03-07T06:02:27Z,51
2019-03-07T06:06:31Z,46
2019-03-07T06:12:34Z,42
2019-03-07T06:18:37Z,36
2019-03-07T06:26:43Z,32
2019-03-07T06:37:54Z,27
2019-03-07T06:48:51Z,21
2019-03-07T07:13:04Z,22
2019-03-07T07:25:07Z,18
2019-03-07T07:31:10Z,23
2019-03-07T07:39:17Z,18
2019-03-07T07:57:24Z,24
2019-03-07T08:05:29Z,19
2019-03-07T08:37:42Z,25
2019-03-07T08:45:45Z,20
2019-03-07T08:49:47Z,15
2019-03-07T08:53:49Z,11
2019-03-07T09:44:16Z,16
2019-03-07T09:54:23Z,22
2019-03-07T10:06:29Z,17
2019-03-07T10:12:26Z,13
2019-03-07T10:40:43Z,19
2019-03-07T10:58:49Z,24
2019-03-07T11:04:57Z,19
2019-03-07T11:12:57Z,14
2019-03-07T11:47:12Z,20
2019-03-07T12:07:25Z,15
2019-03-07T12:25:32Z,11
2019-03-07T12:45:40Z,17
2019-03-07T12:57:51Z,22
2019-03-07T13:09:51Z,18
2019-03-07T13:17:57Z,12
